html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,Haibo_label,Zhuolin_label,Zhuolin_confused,final_label,symptom category,author patch,input program,final label1,input property,refactoring type,check cross validate,bug reproducible in other ides,might need to remove,duplicate? (bug report id),note 2024.6.3,procedure,new root cause,original root cause,user patch,detailed symtom,scenario,stage,initialize,check initial,collect info,check final,create change,confused,check,fix strategy,duplicate?,conflict,notes,possible y,bugs without symptom,note,input program online
https://bugs.eclipse.org/bugs/show_bug.cgi?id=575026,575026,P3,JDT,UI,kalyan_prasad,VERI,FIXE,Provide support for Refactor > Rename of Modules in Views,2021/8/18,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,feature request,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573884,573884,P3,JDT,UI,jjohnstn,VERI,FIXE,"[refactoring] ""Extract superclass"" produces compile errors",2021/8/17,,,,y,compile error,1,1,y,super constructor,extract superclass,,,,,,1,ast rewrite issue,ast transformation issue,,compile error,,Create Change,,,,1,,,1,,,,,1,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=570413,570413,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #58/149] [cleanup & saveaction] Use Comparator.comparing(),2021/8/16,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=574736,574736,P3,JDT,UI,sarika.sinha,RESO,FIXE,[17] Refactor rename of local variable used in Pattern Matching for switch results in error,2021/8/12,,,,y,exception,1,1,y,switch case,rename variable,,,,,,1,selection parsing issue,ast parsing issue,,,,Initial Condition,,,,,,"1, AST related",1,,,,fixed in another issue,1,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=574734,574734,P3,JDT,UI,sarika.sinha,RESO,FIXE,[17] Refactor rename is not working for type reference in switch pattern expression,2021/8/12,,,,y,fail to refactoring,1,0,n,switch case,rename variable,,,,,,1,ast parsing issue,ast parsing issue,,,,Initial Condition,,,,,,same as upper line,1,,,,fixed in another issue,1,0,04/11,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=574044,574044,P3,JDT,UI,jjohnstn,VERI,FIXE,"[var][refactoring] ""'var' is not allowed as an element type of an array"" after ""Convert to 'for' loop using index""",2021/7/6,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,not Java,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=559681,559681,P3,JDT,UI,kalyan_prasad,VERI,FIXE,[14] Refactor rename is not working for component of a record.,2021/6/15,,,,y,compile error,1,1,y,record,rename field,,,,,,1,Incorrect Type Resolving,ast matching issue,,,,Initial Condition,,,,,1,LinkNodeFinder.java -> getRewrite,1,,,,complicated,1,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=572100,572100,P3,JDT,Core,Vikas.Chandra,VERI,FIXE,[refactoring][search] [record] Move Type to a New File ... throws a ClassCastException,2021/6/2,,,,y,exception,1,1,y,record,Move member type to new File,1,1,,,,1,Incorrect Type Resolving,ast matching issue,,exception,,Create Change,,,,,,1,1,,,,,1,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573624,573624,P3,JDT,UI,kalyan_prasad,VERI,FIXE,[record] refactor rename to an existing method is allowed resulting in compilation failure,2021/5/26,,,,y,compile error,1,1,y,record,rename method,1,1,,,,1,overly weak preconditions,overly weak preconditions,,compile error,,Final Condition,,,,1,,,1,,,,,1,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=573141,573141,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #79/153] [cleanup & saveaction] boolean primitive rather than wrapper,2021/5/21,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,feature request,0,0,,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=572763,572763,P3,JDT,UI,fabrice.tiercelin,VERI,FIXE,[AutoRefactor immigration #73/153] [cleanup & saveaction] long primitive rather than wrapper,2021/5/17,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
