title,url,priority,type,state,subsystem,affected version,included in builds,avaliable in,latest affected,created date,refactoring_haibo,refactoring_zhuolin,final label,input program,final label1,input property,symptoms,refactoring type,commit_html_url,new root cause,new root cause zl,stage,stage zl,"disagree (root cause, stage)",checked,cross checked,reproducebale,might need to remove,oracle,notes,initialize refactoring,propocess/ precondition,,perform change,confused,note
"""Convert anonymous to inner"" generates ... extends Object",https://youtrack.jetbrains.com/issue/IDEA-29586/Convert-anonymous-to-inner-generates-...-extends-Object,Major,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
Introduce ..' is broken on recognized resource paths,https://youtrack.jetbrains.com/issue/IDEA-29657/Introduce-..-is-broken-on-recognized-resource-paths,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Collect Info,,,,,,,,,,,,,,
Refactor:Rename disabled in a package node both in package and project views.,https://youtrack.jetbrains.com/issue/IDEA-29661/RefactorRename-disabled-in-a-package-node-both-in-package-and-project-views.,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
IDEADEV-1922 continues,https://youtrack.jetbrains.com/issue/IDEA-29662/IDEADEV-1922-continues,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
"""Build jars"" Main class is not updated by refactorings",https://youtrack.jetbrains.com/issue/IDEA-29718/Build-jars-Main-class-is-not-updated-by-refactorings,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
Rename in non-Project files broken (or erroneously available),https://youtrack.jetbrains.com/issue/IDEA-29796/Rename-in-non-Project-files-broken-or-erroneously-available,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
Introduce variable' refactoring should select a component of an intersection type based on further member selection,https://youtrack.jetbrains.com/issue/IDEA-57404/Introduce-variable-refactoring-should-select-a-component-of-an-intersection-type-based-on-further-member-selection,Normal,Bug,Fixed,Java. Refactorings,Not specified,144.2637,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
"Refactoring / Type Migration results with error when changing type of a method, that returns Collection or Map element, to formal type",https://youtrack.jetbrains.com/issue/IDEA-54117/Refactoring-Type-Migration-results-with-error-when-changing-type-of-a-method-that-returns-Collection-or-Map-element-to-formal,Normal,Bug,Fixed,Java. Refactorings,Not specified,Not specified,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
Change method signature incorrectly changes return type,https://youtrack.jetbrains.com/issue/IDEA-29863/Change-method-signature-incorrectly-changes-return-type,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Make Static... refactoring does not show errors when applied to methods using generic parameters of containing type,https://youtrack.jetbrains.com/issue/IDEA-29918/Make-Static...-refactoring-does-not-show-errors-when-applied-to-methods-using-generic-parameters-of-containing-type,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
