title,url,priority,type,state,subsystem,affected version,included in builds,avaliable in,latest affected,created date,refactoring_haibo,refactoring_zhuolin,final label,input program,final label1,input property,symptoms,refactoring type,commit_html_url,new root cause,new root cause zl,stage,stage zl,"disagree (root cause, stage)",checked,cross checked,reproducebale,might need to remove,oracle,notes,initialize refactoring,propocess/ precondition,,perform change,confused,note
Introduce parameter's Delegate inlay doesn't work,https://youtrack.jetbrains.com/issue/IDEA-349736/Introduce-parameters-Delegate-inlay-doesnt-work,Normal,Bug,Fixed,Java. Refactorings,Not specified,242.4009,Not specified,Not specified,Yesterday,n,y,n,,n,,exception,Introduce parameter,https://github.com/JetBrains/intellij-community/commit/76e1902f7e1e02bbd5a94d38d13458ad4fb269bb,,,Create Change,,,,0,,,,,,,,,,
Introduce parameter with overloading delegate method creates two duplicate delegating methods,https://youtrack.jetbrains.com/issue/IDEA-324562/Introduce-parameter-with-overloading-delegate-method-creates-two-duplicate-delegating-methods,Normal,Bug,Fixed,Java. Refactorings,2023.1 (231.8109.175),"233.2297, 233.6745.35",2023.3,2023.3,Yesterday,n,y,y,0,n,,compile error,Introduce parameter,https://github.com/JetBrains/intellij-community/commit/3ce421f2d384ad5e1d7899011d5e1984d79769cb,ast transformation issue,,Create Change,,,,0,,,,,,,,1,,performRefactoring
Bug： Extract local variables causes syntax errors,https://youtrack.jetbrains.com/issue/IDEA-340915/Bug-Extract-local-variables-causes-syntax-errors,Normal,Bug,Fixed,Java. Refactorings,2021.3.3 (213.7172.25),242.2079,Not specified,2024.1,20 Mar,y,,,1,y,,compile error,extract local variable,https://github.com/JetBrains/intellij-community/commit/6583f8ee65b0a9bf9c4eb224b1ecc84a06f3ba0a,overly weak preconditions,refactoring availability checking issue,Initialize Refactoring,Initialize Refactoring,0,,1,1,,,,,,,1,,"perform, performRefactoringAction, processUsages"
Inlining refactoring operation leads to naming conflicts,https://youtrack.jetbrains.com/issue/IDEA-332489/Inlining-refactoring-operation-leads-to-naming-conflicts,Normal,Bug,Fixed,Java. Refactorings,2023.3.4 (233.14475.28),242.3409,Not specified,2024.1,18 Mar,y,,,1,y,inner class,compile error,inline method,https://github.com/JetBrains/intellij-community/commit/21617c81371b0f1573a0ccb54aa70dd205982687;https://github.com/JetBrains/intellij-community/commit/b8b69757376b839967435cb9a92a8853f927906d,overly weak preconditions,,Initial Condition,,1,,1,1,,,,,,,,,404
"Inline this variable only and keep this reference: Cannot perform refactoring, variable is accessed for writing",https://youtrack.jetbrains.com/issue/IDEA-195246/Inline-this-variable-only-and-keep-this-reference-Cannot-perform-refactoring-variable-is-accessed-for-writing,Normal,Bug,Fixed,Java. Refactorings,Not specified,242.2079,Not specified,Not specified,11 Mar,y,,,1,y,,incorrect warning message,inline variable,https://github.com/JetBrains/intellij-community/commit/8051e35d6dd3286700be0ac2f7e5f4aef8b9bc40,overly weak preconditions,overly weak preconditions,Initial Condition,Initial Condition,0,,1,0,,,,,,,1,,perform() in Handler class
On-demand imports referring to old package name are not removed after package rename,https://youtrack.jetbrains.com/issue/IDEA-171422/On-demand-imports-referring-to-old-package-name-are-not-removed-after-package-rename,Normal,Bug,Fixed,Java. Refactorings,Not specified,242.1785,Not specified,Not specified,4 Mar,y,n,n,,n,,compile error,rename packge,https://github.com/JetBrains/intellij-community/commit/fb03f800df66fda9e9052bd2b6286cedeede14b1,,,Initial Condition,,,,0,,,,,,,,,,
Incorrect message in package rename refactoring preview,https://youtrack.jetbrains.com/issue/IDEA-150910/Incorrect-message-in-package-rename-refactoring-preview,Normal,Bug,Fixed,Java. Refactorings,Not specified,242.1785,Not specified,Not specified,4 Mar,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/1c41737bfc7a4ad86249b719d1e437d5062066b9,,,Initial Condition,,,,0,,,,,,,,,,
`Introduce constant` causes exception for implicit classes,https://youtrack.jetbrains.com/issue/IDEA-343148/Introduce-constant-causes-exception-for-implicit-classes,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.9248, 241.9959.1",2024.1 EAP 2,Not specified,26 Jan,n,y,y,1,y,implicit class,exception,Introduce constant,https://github.com/JetBrains/intellij-community/commit/d72e824939e21dded0ec53be8fd0cd3272a10692;https://github.com/JetBrains/intellij-community/commit/ab3056d33d4280b304433bcdcb9ab8fe8a7b68ab;https://github.com/JetBrains/intellij-community/commit/ff0b78a15b95d566a179f26a90878ea1e4d7749f,ast rewrite issue,ast rewrite issue,Create Change,Create Change,0,,0,,,,,,,,,,404
Move Static Members produces red code when static import is present,https://youtrack.jetbrains.com/issue/IDEA-321620/Move-Static-Members-produces-red-code-when-static-import-is-present,Normal,Bug,Fixed,Java. Refactorings,2022.2.5 (222.4554.10),"241.1392, 241.8102.5",2024.1 EAP 1,2023.2,17 Jan,n,y,y,1,y,,compile error,Move Static Method,https://github.com/JetBrains/intellij-community/commit/d62f8988b62c07bdc833671a38c193a8230bf2a1;https://github.com/JetBrains/intellij-community/commit/8e3d29b3f9e373d2b9a196fd922e3e6555fbf9f2,ast rewrite issue,get visibility issue,Create Change,Create Change,"1, get / set?","change to ""visibility issue""",0,,,,,,,,,,404
"""Inline variable"" misleading error message when compile-errors are present",https://youtrack.jetbrains.com/issue/IDEA-336815/Inline-variable-misleading-error-message-when-compile-errors-are-present,Normal,Bug,Fixed,Java. Refactorings,2021.3.3 (213.7172.25),"241.3870, 241.8102.5",2024.1 EAP 1,2024.1,17 Jan,n,y,y,1,y,,incorrect warning message,inline variable,https://github.com/JetBrains/intellij-community/commit/fd00898d32a86f01ab267553eed33f7241df7974;https://github.com/JetBrains/intellij-community/commit/c6fbff80c0704b0b4573de7b6411110d29307284,flow analysis issue,,Initial Condition,Initial Condition,"1, ref issue?",,1,0,,,,,,,,,404
Moving or copying implicit class causes exceptions,https://youtrack.jetbrains.com/issue/IDEA-340096/Moving-or-copying-implicit-class-causes-exceptions,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.5506, 241.8102.5",2024.1 EAP 1,Not specified,17 Jan,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/8cc5fcc764fc319e107910d5683da779c31331be,,,Create Change,,,,0,,,,,,,,,,
Initialize field in constructor not useful for static field,https://youtrack.jetbrains.com/issue/IDEA-341676/Initialize-field-in-constructor-not-useful-for-static-field,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.7082, 241.8102.5",2024.1 EAP 1,Not specified,17 Jan,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/7157fcb5e8b6dbebe33bfdb5c2dac5e9e144b068,,,Initialize Refactoring,,,,0,,,,,,,,,,
"""Introduce Field"" in an interface should probably be disabled",https://youtrack.jetbrains.com/issue/IDEA-300134/Introduce-Field-in-an-interface-should-probably-be-disabled,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.7082, 241.8102.5",2024.1 EAP 1,Not specified,17 Jan,n,y,y,1,y,,compile error,Introduce Field,https://github.com/JetBrains/intellij-community/commit/72faf00daff065f2a205c4585980a8740e7d54ff,overly weak preconditions,overly weak preconditions,Initial Condition,Initial Condition,0,,0,,,,,,,,1,1,"performRefactoring, but overly weak?"
Introducing field of local class type should probably be disallowed,https://youtrack.jetbrains.com/issue/IDEA-198440/Introducing-field-of-local-class-type-should-probably-be-disallowed,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.7082, 241.8102.5",2024.1 EAP 1,Not specified,17 Jan,y,,,1,y,local class,compile error,introduce field,https://github.com/JetBrains/intellij-community/commit/b2cf7e2e4ba97483ed8ff3c8145da778a04a361a;https://github.com/JetBrains/intellij-community/commit/44373573e7cfb169fb261b103b94de0402e1cb01,overly weak preconditions,overly weak preconditions,Initial Condition,Initial Condition,0,,0,,,,extract attribute / introduce field / extract variable are the same?,,,,,,404
Introduce Constant does not allow to introduce a constant as a field of an inner class,https://youtrack.jetbrains.com/issue/IDEA-341923/Introduce-Constant-does-not-allow-to-introduce-a-constant-as-a-field-of-an-inner-class,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.7082, 241.8102.5",2024.1 EAP 1,Not specified,17 Jan,n,y,y,0,y,inner class,incomplete refactoring,Introduce Constant,https://github.com/JetBrains/intellij-community/commit/0dbc31a8b668fda896f058957c4fe190d75d94d8,,,Create Change,,,,0,,,,,,,,,,
Introduce variable throws exception in implicit classes,https://youtrack.jetbrains.com/issue/IDEA-340087/Introduce-variable-throws-exception-in-implicit-classes,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.5506, 241.8102.5",2024.1 EAP 1,Not specified,17 Jan,y,,,1,y,implicit class,exception,introduce variable,https://github.com/JetBrains/intellij-community/commit/7ed93305c1e2eebc2b2ba78c27c842d95115c105,ast rewrite issue,,Create Change,Create Change,0,,1,0,,,,,1,,1,,"simple patch, performRefactoring(), preprocessUsage()"
Unable to rename file with implicit class,https://youtrack.jetbrains.com/issue/IDEA-340596/Unable-to-rename-file-with-implicit-class,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.7444, 241.8102.5",2024.1 EAP 1,Not specified,17 Jan,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/79a2497d0c02299713a1daab8b1237811be120c9;https://github.com/JetBrains/intellij-community/commit/fab280de6b1cf86618668a9f9a2b7e2a735a87c5;https://github.com/JetBrains/intellij-community/commit/4a7e2fc7119a6fbdd990e6372589f770392c3719;https://github.com/JetBrains/intellij-community/commit/8dad073ca5412fc8d4e8f3cdaafd5be41df2e3c4,,,Final Condition,,,,0,,,,,,,,,,
Inline pattern variable doesn't work when it's located in nested condition,https://youtrack.jetbrains.com/issue/IDEA-338428/Inline-pattern-variable-doesnt-work-when-its-located-in-nested-condition,Normal,Bug,Fixed,Java. Refactorings,Not specified,"241.2802, 233.12581, 233.13135.5, 241.8102.5",2023.3.2,Not specified,11 Jan,y,,,1,y,nested condition,exception,inline variable,https://github.com/JetBrains/intellij-community/commit/fc4f8118d2abc4efb20d7668d7879991d3b83d3d,flow analysis issue,,Create Change,,"1, resolution issue?",,1,1,,,,,,,1,,"perform, processUsage"
"""Introduce field"" from static method in record is not allowed",https://youtrack.jetbrains.com/issue/IDEA-312819/Introduce-field-from-static-method-in-record-is-not-allowed,Normal,Bug,Fixed,Java. Refactorings,Not specified,"231.7347, 233.182, 241.7082, 241.8102.5",2023.1,Not specified,11 Jan,y,y,n,,n,,compile error ,introduce field,https://github.com/JetBrains/intellij-community/commit/c0997ef509e94fbd688658196dc1d5e21f598600;https://github.com/JetBrains/intellij-community/commit/eeed0d8a1f4c089a0bc6bc994edae50d79d4a3a1,,,Initial Condition,,,,0,,,,,,,,,,
"Extract variable for setter argument fails: IOE: ""aSet-?> is not an identifier"" at PsiElementFactoryImpl.createVariableDeclarationStatement()",https://youtrack.jetbrains.com/issue/IDEA-325179/Extract-variable-for-setter-argument-fails-IOE-aSet-is-not-an-identifier-at,Normal,Bug,Fixed,Java. Refactorings,2022.3.3 (223.8836.41),"233.6349, 233.6745.35",2023.3,Not specified,4 Dec 2023,n,y,n,,n,,exception,Introduce Variable,https://github.com/JetBrains/intellij-community/commit/28572f3d5a05841382e49126a69447bdff5a7a0e;https://github.com/JetBrains/intellij-community/commit/5dfdd117ae5a9a18990184324cd66c960b8c7848,,,Final Condition,,,,0,,,,,,,,,,
Inline method doesn't work in unnamed class,https://youtrack.jetbrains.com/issue/IDEA-327261/Inline-method-doesnt-work-in-unnamed-class,Normal,Bug,Fixed,Java. Refactorings,Not specified,"233.6067, 233.6745.35",2023.3,Not specified,4 Dec 2023,y,,,1,y,unnamed class,exception,inline method,https://github.com/JetBrains/intellij-community/commit/7ce61422f019746e8a72db1102472e4657a8334f,ast rewrite issue,change calculator issue,Create Change,Create Change,0,,1,0,1,,,,1,,1,,"perform, preprocessUsage"
Refactorings should be disabled in the unnamed class,https://youtrack.jetbrains.com/issue/IDEA-327325/Refactorings-should-be-disabled-in-the-unnamed-class,Normal,Bug,Fixed,Java. Refactorings,Not specified,"233.4957, 233.6745.35",2023.3,Not specified,4 Dec 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/d0a6bb9fdc287a9c269582828759098cdbe9bbad,,,Initial Condition,,,,0,,,,,,,,,,
Rename 'x' to '_': invalid warning,https://youtrack.jetbrains.com/issue/IDEA-333185/Rename-x-to-invalid-warning,Normal,Bug,Fixed,Java. Refactorings,Not specified,"233.8240, 233.8264.2",2023.3,Not specified,4 Dec 2023,n,y,n,,n,,incorrect warning message,rename variable,https://github.com/JetBrains/intellij-community/commit/cb328b8e6118f4e8e55c14bed091fd246c0e9ad2,,,Initial Condition,,,,0,,,,,,,,,,
Exception Introduce refactorings chooser,https://youtrack.jetbrains.com/issue/IDEA-331555/Exception-Introduce-refactorings-chooser,Normal,Bug,Fixed,Java. Refactorings,Not specified,"233.7106, 233.8264.2",2023.3,Not specified,4 Dec 2023,n,y,n,,n,,exception,Introduce Variable/Field/Parameter/Constant,https://github.com/JetBrains/intellij-community/commit/75c86c2efe4d115ee7da5ed66c7a27fd92449382,,,Initial Condition,,,,0,,,,,,,,,,
Update signature popup: rendering is broken,https://youtrack.jetbrains.com/issue/IDEA-327297/Update-signature-popup-rendering-is-broken,Normal,Bug,Fixed,Java. Refactorings,Not specified,"233.8526, 233.9102.4",2023.3,2023.3,4 Dec 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/2586b12f70e4c8be2df0695d6bd13794cc4112b5,,,Initial Condition,,,,0,,,,,,,,,,
"Exception upon ""Extract method"" on String template",https://youtrack.jetbrains.com/issue/IDEA-331198/Exception-upon-Extract-method-on-String-template,Normal,Bug,Fixed,Java. Refactorings,Not specified,"233.7106, 233.8264.2",2023.3,Not specified,4 Dec 2023,y,,,1,y,special string,exception,extract method,https://github.com/JetBrains/intellij-community/commit/34afca4ec6471def2a8c2e62e975a295e86915bc,flow analysis issue,flow analysis issue,Initial Condition,Initial Condition,0,,1,1,,,,,1,,1,,"perform, preprocessUsage"
"Misleading ""Variable is never used before modification"" error message when trying to do an inline-refactoring while there are compile-errors",https://youtrack.jetbrains.com/issue/IDEA-191147/Misleading-Variable-is-never-used-before-modification-error-message-when-trying-to-do-an-inline-refactoring-while-there-are,Normal,Bug,Fixed,Java. Refactorings,2018.1.5 (181.5284.24),182.2064,2018.2 (182.3684.101),Not specified,31 Oct 2023,y,,,0,n,,incorrect warning message,inline variable,https://github.com/JetBrains/intellij-community/commit/d56ddff7b819387dcf92b474e7a8ce5838594735,unsupported ast dom,,Initialize Refactoring,,,,1,0,1,,,,,,,,
Rename refactorings dialog ui doesn't show preview content,https://youtrack.jetbrains.com/issue/IDEA-324363/Rename-refactorings-dialog-ui-doesnt-show-preview-content,Normal,Bug,Fixed,Java. Refactorings,2023.2 Beta (232.8660.48),"233.2089, 232.9206, 232.9559.2, 233.6745.35",2023.2.1,2023.3,14 Sep 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/a317ab473c968bae95599a1bc9673b13c9e57eae,,,Create Change,,,,0,,,,,,,,,,
"""Show inline dialog for local variables"" setting is ignored",https://youtrack.jetbrains.com/issue/IDEA-219447/Show-inline-dialog-for-local-variables-setting-is-ignored,Normal,Bug,Fixed,Java. Refactorings,2019.2 (192.5728.98),"192.6262, 193.2030",2019.3,Not specified,24 Aug 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/a8265281cf2b2bac0eaa0e4b1a37ec4129c53fcc;https://github.com/JetBrains/intellij-community/commit/eb6d439da48176d70cb1069f79977645164362be;https://github.com/JetBrains/intellij-community/commit/0bd1ee49169a2122cdb78c161d6c6d5313596f79;https://github.com/JetBrains/intellij-community/commit/5c7d5fdba7d2d1acaaa4370233accdaeb60023a4,,,Create Change,,,,0,,,,,,,,,,
Scratches: Rename refactoring changes name only in a place where you've called it,https://youtrack.jetbrains.com/issue/IDEA-223623/Scratches-Rename-refactoring-changes-name-only-in-a-place-where-youve-called-it,Normal,Bug,Fixed,Java. Refactorings,2019.3 (193.5233.102),193.4697,2019.3,Not specified,27 Jul 2023,n,y,n,,n,,incomplete refactoring,rename method,https://github.com/JetBrains/intellij-community/commit/7c7632bccf7312607e6332649ac46d3f058ebf69,,,Create Change,,,,0,,,,,,,,,,
Extract parameter with 'Delegate via overloading method' not working anymore in 2023.1.1,https://youtrack.jetbrains.com/issue/IDEA-319462/Extract-parameter-with-Delegate-via-overloading-method-not-working-anymore-in-2023.1.1,Major,Bug,Fixed,Java. Refactorings,2023.1.1 (231.8770.65),"232.7490, 233.182",2023.2,2023.2,26 Jul 2023,y,,,0,n,,fail to refactoring,extract parameter,https://github.com/JetBrains/intellij-community/commit/3b3a723f6ead6b4c5ec0832e91708ea9bad01d1d,refactoring availability checking issue,,Create Change,,,,1,1,,,,,,,,,
Change signature incorrectly wraps/unwraps arguments when changing between varargs and arrays,https://youtrack.jetbrains.com/issue/IDEA-318626/Change-signature-incorrectly-wraps-unwraps-arguments-when-changing-between-varargs-and-arrays,Normal,Bug,Fixed,Java. Refactorings,2022.2.5 (222.4554.10),"232.5020, 233.182",2023.2,2023.2,26 Jul 2023,y,,,1,y,varargs,compile error,change method signature,https://github.com/JetBrains/intellij-community/commit/be6a068d767f1b01d8fd9d150d2ca28afabf3e72,flow analysis issue,search usages issue,Create Change,Create Change,0,,1,1,,,,,,,,,
Hardcoded Bright Red color in member selection refactoring,https://youtrack.jetbrains.com/issue/IDEA-317642/Hardcoded-Bright-Red-color-in-member-selection-refactoring,Normal,Bug,Fixed,Java. Refactorings,Not specified,"232.4571, 233.182",2023.2,Not specified,26 Jul 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/ea6fe5b1362494d1d64bdb3c0f33858c7a63aa73,,,Initial Condition,,,,0,,,,,,,,,,
Inline method produces red code,https://youtrack.jetbrains.com/issue/IDEA-315222/Inline-method-produces-red-code,Normal,Bug,Fixed,Java. Refactorings,Not specified,"232.2365, 233.182",2023.2,Not specified,26 Jul 2023,y,,,0,y,java generics,compile error,inline method,https://github.com/JetBrains/intellij-community/commit/f35f0c92482814f047d464726455238774b94587,,,Initialize Refactoring,,,,1,0,1,,,,,,,,
Move Static Members dialog should not show enum synthetic methods,https://youtrack.jetbrains.com/issue/IDEA-315779/Move-Static-Members-dialog-should-not-show-enum-synthetic-methods,Normal,Bug,Fixed,Java. Refactorings,Not specified,"232.2365, 233.182",2023.2,Not specified,26 Jul 2023,n,y,y,0,y,enum,exception,Move Static Members,https://github.com/JetBrains/intellij-community/commit/f33d9f61fec716964a4ace190317f02cb5deeba4,,,Create Change,,,,0,,,,,,,,,,
Extract Delegate does not check read-only status of files,https://youtrack.jetbrains.com/issue/IDEA-315546/Extract-Delegate-does-not-check-read-only-status-of-files,Normal,Bug,Fixed,Java. Refactorings,Not specified,"232.2285, 233.182",2023.2,Not specified,26 Jul 2023,n,y,n,,n,read-only file /resources,unknown,Extract Delegate,https://github.com/JetBrains/intellij-community/commit/049c010dd110aee0198139d04b8756a4e51a0476,,,Create Change,,,,0,,,,,,,,,,
Errors when extracting constants as nested enum,https://youtrack.jetbrains.com/issue/IDEA-274500/Errors-when-extracting-constants-as-nested-enum,Normal,Bug,Fixed,Java. Refactorings,"2021.3 (213.5744.223), 2021.1.3 (211.7628.21)","232.2050, 233.182",2023.2,Not specified,26 Jul 2023,y,,,1,y,enum,compile error,extract variable as enum,https://github.com/JetBrains/intellij-community/commit/779f0ecebc3f427c6c31756c351ccdb0791cfe4f,flow analysis issue,search usages issue,Create Change,Create Change,0,,1,0,,,,,,,,,
Inline method adds unnecessary parentheses when inlining a string concatenation into a string concatenation,https://youtrack.jetbrains.com/issue/IDEA-314882/Inline-method-adds-unnecessary-parentheses-when-inlining-a-string-concatenation-into-a-string-concatenation,Normal,Bug,Fixed,Java. Refactorings,Not specified,"232.1606, 233.182",2023.2,Not specified,26 Jul 2023,y,,,1,y,,unnecessary change,inline method,https://github.com/JetBrains/intellij-community/commit/6a09b77b61b9014cc0d08c411e5f99443096347f,ast rewrite issue,ast rewrite issue,Create Change,Create Change,0,,1,1,,,,,,,,,
"Enabling the ""Utility class can be 'enum'"" inspection causes code replacement when pressing Ctrl-S",https://youtrack.jetbrains.com/issue/IDEA-311942/Enabling-the-Utility-class-can-be-enum-inspection-causes-code-replacement-when-pressing-Ctrl-S,Normal,Bug,Fixed,Java. Refactorings,"2022.3.2 (223.8617.56), 2023.1 EAP 2 (231.5920.14)","232.1429, 233.182",2023.2,2023.1 EAP 1 (231.4840.387),26 Jul 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/cdb631d9062800afb49d1c306fe510eb8406b287,,,Collect Info,,,,0,,,,,,,,,,
Extract method does not make the method 'static' inside non-static/anonymous classes since Java 16,https://youtrack.jetbrains.com/issue/IDEA-313664/Extract-method-does-not-make-the-method-static-inside-non-static-anonymous-classes-since-Java-16,Normal,Bug,Fixed,Java. Refactorings,Not specified,"232.1305, 233.182",2023.2,Not specified,26 Jul 2023,y,,,1,n,anonymous class,incorrect warning message,extract method,https://github.com/JetBrains/intellij-community/commit/72af44b14d3f63d015ca02486a2ad31d116d46c0,change calculator issue,change calculator issue,Create Change,Create Change,0,,1,1,,,,,,,,,
Extracted method erroneous marked as static despite it refers non-static class,https://youtrack.jetbrains.com/issue/IDEA-313673/Extracted-method-erroneous-marked-as-static-despite-it-refers-non-static-class,Normal,Bug,Fixed,Java. Refactorings,Not specified,"232.1218, 233.182",2023.2,Not specified,26 Jul 2023,y,,,1,y,static method,compile error,extract method,https://github.com/JetBrains/intellij-community/commit/7a80c0d0edff27d7d02a2ae6284c7f1cbbf39b50,flow analysis issue,search usages issue,Create Change,Create Change,0,,1,1,,,,,,,,,
Incorrect results of Implement Interface intention for generic interface; AE is thrown,https://youtrack.jetbrains.com/issue/IDEA-76741/Incorrect-results-of-Implement-Interface-intention-for-generic-interface-AE-is-thrown,Major,Bug,Fixed,Java. Refactorings,Not specified,111.213,Not specified,Not specified,5 Jul 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/4fe09fbeade0a2c551065cc777e30929656cea28,,,Create Change,,,,0,,,,,,,,,,
Change record signature doesn't update record patterns properly if there is a parenthesized or record pattern among deconstruction components,https://youtrack.jetbrains.com/issue/IDEA-303509/Change-record-signature-doesnt-update-record-patterns-properly-if-there-is-a-parenthesized-or-record-pattern-among,Normal,Bug,Fixed,Java. Refactorings,Not specified,"231.462, 233.182",2023.1,Not specified,23 Jun 2023,y,confused,n,,n,,compile error,change method signature,https://github.com/JetBrains/intellij-community/commit/3d2c425834fa0cdbff8a918ff270cae8904fb9e7,,,Create Change,,,,0,,,,,,,,,,
"IllegalArgumentException occurs when invoke ""Introduce Constant"" dialog for variable declaration",https://youtrack.jetbrains.com/issue/IDEA-305171/IllegalArgumentException-occurs-when-invoke-Introduce-Constant-dialog-for-variable-declaration,Normal,Bug,Fixed,Java. Refactorings,2022.3 EAP 5 (223.7255.1),"231.854, 223.7563, 233.182",2022.3,Not specified,23 Jun 2023,y,,,1,n,,exception,Introduce Constant,https://github.com/JetBrains/intellij-community/commit/3f7dcd8e3a75a42fa651ce4dfd1e5efb1f253571,initialization issue,initialization issue,Initialize Refactoring,Initialize Refactoring,0,,0,,,,,,,,,,
Renaming member function with a lot of overrides hangs IDE in a non-cancellable way,https://youtrack.jetbrains.com/issue/IDEA-308360/Renaming-member-function-with-a-lot-of-overrides-hangs-IDE-in-a-non-cancellable-way,Normal,Bug,Fixed,Java. Refactorings,Not specified,"231.3612, 233.182",2023.1,Not specified,23 Jun 2023,n,,,,n,big project,hang,rename method,https://github.com/JetBrains/intellij-community/commit/9617e76b9aa8ac92463c42a9cd0564583c4cff39;https://github.com/JetBrains/intellij-community/commit/91c6dfbf44b6133cbf8c48e9749b992b59431c63,,,Create Change,,,,0,,,,,,,,,,
Option L / Delegate params no longer working again,https://youtrack.jetbrains.com/issue/IDEA-305980/Option-L-Delegate-params-no-longer-working-again,Normal,Bug,Fixed,Java. Refactorings,2022.2.3 (222.4345.14),"231.3640, 233.182",2023.1,2022.3 (223.7571.182),23 Jun 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/e32e1a1ff02da5515fd1d2bbb72bb8f1f65abcda;https://github.com/JetBrains/intellij-community/commit/d3f0712ea135f2036dbb24c954d5422c82100b42;https://github.com/JetBrains/intellij-community/commit/788df0d9829055d8e84760e8f3024ee3975578dd;https://github.com/JetBrains/intellij-community/commit/55fe01a84c4e3ddc0d163ab412dc607a0c1269e8,,,Create Change,,,,0,,,,,,,,,,
Editor code preview popup is not show on the top if code is hidden by another code popup,https://youtrack.jetbrains.com/issue/IDEA-308702/Editor-code-preview-popup-is-not-show-on-the-top-if-code-is-hidden-by-another-code-popup,Normal,Bug,Fixed,Java. Refactorings,Not specified,"231.3640, 233.182",2023.1,Not specified,23 Jun 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/905331246f15857a4e503bfdec1e5839d608689a,,,Create Change,,,,0,,,,,,,,,,
Code preview in editor takes focus and block using keyboard shortcuts (new ui),https://youtrack.jetbrains.com/issue/IDEA-308775/Code-preview-in-editor-takes-focus-and-block-using-keyboard-shortcuts-new-ui,Normal,Bug,Fixed,Java. Refactorings,2023.1,"231.3640, 233.182",2023.1,Not specified,23 Jun 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/9d99f0de33fc41d3d278a2328d413331d829e59b,,,Create Change,,,,0,,,,,,,,,,
Inline Super class' performs unexpectedly,https://youtrack.jetbrains.com/issue/IDEA-308062/Inline-Super-class-performs-unexpectedly,Normal,Bug,Fixed,Java. Refactorings,2022.3 (223.7571.182),"231.5252, 233.182",2023.1,Not specified,23 Jun 2023,y,,,1,y,input options,behavior change,inline class,https://github.com/JetBrains/intellij-community/commit/8bdf9dfed95498dcdf0b84641846e6cd7be87c07,ast rewrite issue,change calculator issue,Create Change,Create Change,0,,0,,,,,,,,,,
In-place refactorings don't feed variable name chosen to statistics,https://youtrack.jetbrains.com/issue/IDEA-310721/In-place-refactorings-dont-feed-variable-name-chosen-to-statistics,Normal,Bug,Fixed,Java. Refactorings,Not specified,"231.5646, 233.182",2023.1,Not specified,23 Jun 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/efb254854c5768d73224bf2f835baa93dbf00f62;https://github.com/JetBrains/intellij-community/commit/9bbbcaf0f7f13df85ad5bb4ec9b05eb9ee7bddd0,,,Initial Condition,,,,0,,,,,,,,,,
"Improve the Safety of ""Introduce Variable"" Refactorings concening ClassCasts",https://youtrack.jetbrains.com/issue/IDEA-309095/Improve-the-Safety-of-Introduce-Variable-Refactorings-concening-ClassCasts,Normal,Bug,Fixed,Java. Refactorings,Not specified,"231.5689, 233.182",Not specified,Not specified,23 Jun 2023,y,,,1,y,instanceof,exception,introduce variable,https://github.com/JetBrains/intellij-community/commit/6253884c82bd383a038f21a8af8e7744d9eebc30,flow analysis issue,flow analysis issue,Create Change,Create Change,0,,1,1,,,,,,,,,
Conflicts in conflicts view are shown as plain HTML,https://youtrack.jetbrains.com/issue/IDEA-310856/Conflicts-in-conflicts-view-are-shown-as-plain-HTML,Normal,Bug,Fixed,Java. Refactorings,Not specified,"231.5825, 233.182",Not specified,Not specified,23 Jun 2023,n,,,,n,,,,https://github.com/JetBrains/intellij-community/commit/b9392e505476426946f12b70840d6acd16186cce,,,Create Change,,,,0,,,,,,,,,,
