html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,commit_html_url,is_duplicated,is_refactoring_haibo,is_refactoring_zhuolin,conflict,has_input_program,has_patch,final,refactoring type,cross checked,reproducebale,might need to remove,symptom category,symptom sub category,input property,root cause,stage,
https://bz.apache.org/netbeans/show_bug.cgi?id=254599,254599,P1,java,Refactor,ralphbenjamin,VERI,FIXE,Rename refactoring does not find method uses when chaining methods in some specific order,2015/8/26,,0,1,1,0,1,0,1,Rename method,1,0,1,fail to refactoring,partially? ,BigDecimal,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=254663,254663,P3,java,Refactor,ralphbenjamin,RESO,FIXE,IllegalStateException at org.netbeans.modules.refactoring.java.plugins.IntroduceLocalExtensionTransformer.choosePattern,2015/8/26,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=223769,223769,P4,java,Refactor,ralphbenjamin,RESO,FIXE,"Refactoring: Inline Temp dialog: Preview-Button is keyboard-default, but Cancel is displayed as default",2015/8/26,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=254188,254188,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.SafeDeleteUI.deletePackage,2015/8/18,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=253562,253562,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.FindUsagesVisitor.analyzeCollectionAccess,2015/7/21,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=253393,253393,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.EncapsulateFieldRefactoringPlugin.overridingHasWeakerAccess,2015/7/14,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=224777,224777,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.PackageRename$PackageRenamePlugin$RenameNonRecursiveFolder.setName,2015/7/2,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=251039,251039,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.PackageRename$PackageRenamePlugin.fastCheckParameters,2015/7/2,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=253089,253089,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.EncapsulateFieldUI.create,2015/6/30,,0,1,1,0,1,0,1,encapsulate fields,,,,exception,NPE,getter setter,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=253179,253179,P3,java,Refactor,ralphbenjamin,RESO,FIXE,"Refactor of overloaded static import doesn't work as expected, causes compiler errors",2015/6/30,,0,1,1,0,1,0,1,rename method,1,0,1,fail to refactoring,partially,static method,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=250815,250815,P2,java,Refactor,ralphbenjamin,RESO,FIXE,Shortcuts are missing for refactoring actions,2015/5/19,,0,0,0,0,1,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=251831,251831,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactor copy action does not update package info,2015/4/21,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=234094,234094,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Enum class name refactoring does not ask to change test file name too,2015/3/25,,0,1,1,0,0,0,1,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=250683,250683,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.tree.ElementGripFactory$Interval.createInterval,2015/3/13,,0,1,1,0,0,0,1,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=228708,228708,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Invert Boolean] Disable invert refactoring for overriding methods,2015/3/9,,0,1,1,0,1,0,1,rename method,1,1,,compile error,,annotation,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=250462,250462,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.RenameRefactoringPlugin.fastCheckParameters,2015/2/18,,0,1,1,0,0,0,1,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=250415,250415,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactor Rename ... Class should rename Class in @see or @link Class#member javadoc,2015/2/17,,0,1,1,0,1,0,1,rename class,,,,fail to refactoring,,annotation in comment,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=250421,250421,P2,java,Refactor,ralphbenjamin,RESO,FIXE,Refactor move to another class loses comments,2015/2/17,,0,1,1,0,1,0,1,move method,1,1,,comment related,delete comment,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=247110,247110,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.RenamePanel$2.run,2015/2/9,,0,1,1,0,0,0,1,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=250021,250021,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.MoveMembersTransformer$8.visitMethodInvocation,2015/1/28,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=249807,249807,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.JavaWhereUsedQueryPlugin$1.run,2015/1/28,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=249299,249299,P3,java,Refactor,ralphbenjamin,RESO,FIXE,JavaDoc comments for enum values are lost during Refactor -> Move Inner to Outer level,2015/1/28,,0,1,1,0,1,0,1,Move Inner to Outer level,,,,comment related,delete comment partially,JavaDoc comments for enum,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=246799,246799,P2,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.SafeDeleteUI.create,2015/1/26,,0,0,0,0,0,0,0,,,,,,,,,,
https://bz.apache.org/netbeans/show_bug.cgi?id=249073,249073,P3,java,Refactor,ralphbenjamin,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.WhereUsedElement.filter,2015/1/7,,0,0,0,0,0,0,0,,,,,,,,,,
